student_id,test_instance_id,gmat_section,subjective_time_pressure,report_collection_timestamp
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,0,2025-05-17T19:05:21.209632
student_20250517160418,student_20250517160418_V_20250517_upload,V,0,2025-05-17T19:05:21.209964
student_20250517160418,student_20250517160418_DI_20250517_upload,DI,0,2025-05-17T19:05:21.210459
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,1,2025-05-17T19:05:45.174457
student_20250517160418,student_20250517160418_V_20250517_upload,V,0,2025-05-17T19:05:45.175005
student_20250517160418,student_20250517160418_DI_20250517_upload,DI,0,2025-05-17T19:05:45.175199
student_20250520202535,student_20250520202535_Q_20250520_upload,Q,0,2025-05-20T20:25:35.922601
student_20250520202535,student_20250520202535_V_20250520_upload,V,0,2025-05-20T20:25:35.923348
student_20250520202535,student_20250520202535_DI_20250520_upload,DI,0,2025-05-20T20:25:35.923704
student_20250521123648,student_20250521123648_Q_20250521_upload,Q,0,2025-05-21T12:36:48.192441
student_20250521123648,student_20250521123648_V_20250521_upload,V,0,2025-05-21T12:36:48.193946
student_20250521123648,student_20250521123648_DI_20250521_upload,DI,0,2025-05-21T12:36:48.194163
student_20250522021646,student_20250522021646_Q_20250522_upload,Q,1,2025-05-22T02:16:46.216842
student_20250522021646,student_20250522021646_V_20250522_upload,V,1,2025-05-22T02:16:46.218253
student_20250522021646,student_20250522021646_DI_20250522_upload,DI,1,2025-05-22T02:16:46.218862
student_20250522032311,student_20250522032311_Q_20250522_upload,Q,0,2025-05-22T03:23:11.344428
student_20250522032311,student_20250522032311_V_20250522_upload,V,0,2025-05-22T03:23:11.344903
student_20250522032311,student_20250522032311_DI_20250522_upload,DI,1,2025-05-22T03:23:11.345254
